Year,Primary_Type,Count,Mean_Temp
2012,ASSAULT,62,55.5
2012,BURGLARY,50,55.5
2012,THEFT,228,52
2012,BATTERY,137,52
2012,NARCOTICS,98,52
2012,CRIMINAL DAMAGE,95,52
2012,ASSAULT,63,52
2012,BURGLARY,59,52
2012,THEFT,213,40
2012,BATTERY,111,40
2012,NARCOTICS,96,40
2012,CRIMINAL DAMAGE,87,40
2012,BURGLARY,42,40
2012,ASSAULT,33,40
2012,THEFT,190,43
2012,BATTERY,149,43
2012,NARCOTICS,127,43
2012,CRIMINAL DAMAGE,114,43
2012,BURGLARY,60,43
2012,ASSAULT,51,43
2012,BATTERY,188,47.5
2012,THEFT,183,47.5
2012,NARCOTICS,109,47.5
2012,CRIMINAL DAMAGE,87,47.5
2012,BURGLARY,59,47.5
2012,ASSAULT,55,47.5
2012,THEFT,208,53
2012,BATTERY,149,53
2012,CRIMINAL DAMAGE,115,53
2012,NARCOTICS,98,53
2012,ASSAULT,64,53
2012,BURGLARY,61,53
2012,THEFT,237,60.5
2012,BATTERY,171,60.5
2012,CRIMINAL DAMAGE,102,60.5
2012,NARCOTICS,92,60.5
2012,ASSAULT,57,60.5
2012,BURGLARY,36,60.5
2012,THEFT,235,69
2012,BATTERY,202,69
2012,CRIMINAL DAMAGE,117,69
2012,NARCOTICS,87,69
2012,ASSAULT,63,69
2012,BURGLARY,51,69
2012,THEFT,250,55
2012,BATTERY,131,55
2012,CRIMINAL DAMAGE,106,55
2012,NARCOTICS,98,55
2012,ASSAULT,65,55
2012,BURGLARY,65,55
2012,THEFT,227,48
2012,BATTERY,160,48
2012,NARCOTICS,101,48
2012,CRIMINAL DAMAGE,95,48
2012,BURGLARY,68,48
2012,ASSAULT,60,48
2012,THEFT,201,56
2012,BATTERY,157,56
2012,CRIMINAL DAMAGE,110,56
2012,NARCOTICS,96,56
2012,ASSAULT,55,56
2012,BURGLARY,44,56
2012,THEFT,186,53
2012,BATTERY,177,53
2012,CRIMINAL DAMAGE,105,53
2012,NARCOTICS,91,53
