Year,Primary Type,Count,Mean_Temp
2013,THEFT,222,59.5
2013,THEFT,194,59
2013,THEFT,199,57.5
2013,THEFT,232,60
2013,THEFT,247,70.5
2013,THEFT,200,76.5
2013,THEFT,257,67
2013,THEFT,205,59.5
2013,THEFT,167,58
2013,THEFT,247,56.5
2013,THEFT,223,59.5
2013,THEFT,217,60.5
2013,THEFT,219,62.5
2013,THEFT,244,66.5
2013,THEFT,223,69.5
2013,THEFT,204,59.5
2013,THEFT,212,60.5
2013,THEFT,269,70.5
2013,THEFT,205,69
2013,THEFT,223,69
2013,THEFT,203,69.5
2013,THEFT,188,70.5
2013,THEFT,167,54.5
2013,THEFT,186,56.5
2013,THEFT,191,59
2013,THEFT,216,59.5
2013,THEFT,237,60
2013,THEFT,221,63.5
2013,THEFT,217,59.5
2013,THEFT,184,54
2013,THEFT,193,52
2013,THEFT,192,56.5
2013,THEFT,183,50.5
2013,THEFT,194,46.5
2013,THEFT,234,44.5
2013,THEFT,183,48
2013,THEFT,178,48.5
2013,THEFT,188,44
2013,THEFT,170,35.5
2013,THEFT,202,39
2013,THEFT,182,37.5
2013,THEFT,239,40
2013,THEFT,205,46
2013,THEFT,153,41.5
2013,THEFT,199,44
2013,THEFT,195,49.5
2013,THEFT,205,53
2013,THEFT,203,55
2013,THEFT,236,45.5
2013,THEFT,161,43
2013,THEFT,187,43
2013,THEFT,196,50
2013,THEFT,221,52.5
2013,THEFT,201,46
2013,THEFT,202,37
2013,THEFT,221,38
2013,THEFT,194,49.5
2013,THEFT,158,42
2013,THEFT,168,36
2013,THEFT,181,27.5
2013,THEFT,221,30
2013,THEFT,164,40.5
2013,THEFT,261,44
2013,THEFT,204,51.5
2013,THEFT,162,56
2013,THEFT,229,36.5
2013,THEFT,207,33.5
2013,THEFT,209,36.5
2013,THEFT,233,46
2013,THEFT,225,35
2013,THEFT,149,20.5
2013,THEFT,154,19
2013,THEFT,175,26.5
2013,THEFT,222,25.5
2013,THEFT,201,21
2013,THEFT,108,26.5
2013,THEFT,203,25.5
2013,THEFT,154,39.5
2013,THEFT,207,35.5
2013,THEFT,191,36.5
2013,THEFT,207,43.5
2013,THEFT,207,47.5
2013,THEFT,211,30
2013,THEFT,176,17
2013,THEFT,162,14.5
2013,THEFT,145,20.5
2013,THEFT,178,12.5
2013,THEFT,161,7.5
2013,THEFT,156,11
2013,THEFT,164,8
2013,THEFT,204,22.5
2013,THEFT,152,26.5
2013,THEFT,128,16
2013,THEFT,171,14
2013,THEFT,177,24.5
2013,THEFT,177,25
2013,THEFT,183,36
2013,THEFT,222,34.5
2013,THEFT,209,32.5
2013,THEFT,178,29
2013,THEFT,185,12.5
2013,THEFT,165,8
2013,THEFT,62,22.5
2013,THEFT,145,24
2013,THEFT,189,31
2013,THEFT,165,41.5
2013,THEFT,146,25.5
2013,THEFT,148,7
2013,THEFT,149,7
2014,THEFT,165,16
2014,THEFT,101,10
2014,THEFT,129,4
2014,THEFT,137,25
2014,THEFT,85,13
2014,THEFT,82,-9
2014,THEFT,103,-4.5
2014,THEFT,133,5.5
2014,THEFT,134,11.5
2014,THEFT,156,33.5
2014,THEFT,157,35.5
2014,THEFT,147,36
2014,THEFT,188,36
2014,THEFT,149,28.5
2014,THEFT,160,18.5
2014,THEFT,173,26.5
2014,THEFT,190,16
2014,THEFT,132,14
2014,THEFT,137,23.5
2014,THEFT,172,24
2014,THEFT,126,6.5
2014,THEFT,140,7.5
2014,THEFT,138,2.5
2014,THEFT,178,11
2014,THEFT,146,20
2014,THEFT,112,18.5
2014,THEFT,132,-0.5
2014,THEFT,109,-4
2014,THEFT,175,12
2014,THEFT,165,26.5
2014,THEFT,192,22.5
2014,THEFT,157,25.5
2014,THEFT,106,10
2014,THEFT,180,7.5
2014,THEFT,155,15.5
2014,THEFT,125,17
2014,THEFT,141,6
2014,THEFT,159,3.5
2014,THEFT,141,10.5
2014,THEFT,126,11.5
2014,THEFT,143,4.5
2014,THEFT,136,3
2014,THEFT,133,9.5
2014,THEFT,159,21
2014,THEFT,170,17
2014,THEFT,135,13.5
2014,THEFT,125,23
2014,THEFT,146,25.5
2014,THEFT,138,31
2014,THEFT,155,37
2014,THEFT,142,41.5
2014,THEFT,179,31.5
2014,THEFT,129,28
2014,THEFT,128,21.5
2014,THEFT,144,18.5
2014,THEFT,145,14
2014,THEFT,141,9.5
2014,THEFT,130,11
2014,THEFT,148,16.5
2014,THEFT,140,21
2014,THEFT,95,7.5
2014,THEFT,95,8.5
2014,THEFT,117,19.5
2014,THEFT,150,21
2014,THEFT,143,24.5
2014,THEFT,165,30
2014,THEFT,145,29.5
2014,THEFT,121,30.5
2014,THEFT,177,46.5
2014,THEFT,115,42
2014,THEFT,128,24
2014,THEFT,138,25
2014,THEFT,174,45
2014,THEFT,177,33.5
2014,THEFT,128,23
2014,THEFT,152,30
2014,THEFT,176,39.5
2014,THEFT,170,40
2014,THEFT,142,38.5
2014,THEFT,158,44
2014,THEFT,159,33.5
2014,THEFT,132,25.5
2014,THEFT,145,28
2014,THEFT,159,25.5
2014,THEFT,149,27
2014,THEFT,158,44.5
2014,THEFT,155,44.5
2014,THEFT,153,34.5
2014,THEFT,149,41
2014,THEFT,148,54.5
2014,THEFT,212,44.5
2014,THEFT,134,39.5
2014,THEFT,180,39
2014,THEFT,176,41
2014,THEFT,177,41
2014,THEFT,134,44
2014,THEFT,154,45
2014,THEFT,149,50
2014,THEFT,139,47.5
2014,THEFT,166,53.5
2014,THEFT,149,53.5
2014,THEFT,158,62
2014,THEFT,122,55.5
2014,THEFT,151,46.5
2014,THEFT,153,32
2014,THEFT,190,39
2014,THEFT,167,51
2014,THEFT,184,44.5
2014,THEFT,164,51.5
2014,THEFT,123,60
2014,THEFT,157,66
2014,THEFT,171,48.5
2014,THEFT,169,42
2014,THEFT,167,51.5
2014,THEFT,186,57.5
2014,THEFT,176,48.5
2014,THEFT,130,51
2014,THEFT,155,50
2014,THEFT,177,53
2014,THEFT,164,48
2014,THEFT,177,45.5
2014,THEFT,179,49.5
2014,THEFT,154,56.5
2014,THEFT,150,51
2014,THEFT,201,49
2014,THEFT,165,52
2014,THEFT,160,63
2014,THEFT,157,70
2014,THEFT,178,63.5
2014,THEFT,162,62
2014,THEFT,142,66.5
2014,THEFT,181,74
2014,THEFT,187,59.5
2014,THEFT,175,50
2014,THEFT,161,47.5
2014,THEFT,196,41.5
2014,THEFT,164,49.5
2014,THEFT,161,58
2014,THEFT,173,57
2014,THEFT,187,73.5
2014,THEFT,184,74.5
2014,THEFT,181,61.5
2014,THEFT,189,58.5
2014,THEFT,161,60.5
2014,THEFT,140,66.5
2014,THEFT,178,74
2014,THEFT,171,71.5
2014,THEFT,169,63.5
2014,THEFT,174,65
2014,THEFT,195,66
2014,THEFT,199,71
2014,THEFT,205,76.5
2014,THEFT,205,75.5
2014,THEFT,202,73.5
2014,THEFT,174,62.5
2014,THEFT,207,64
2014,THEFT,171,65
2014,THEFT,185,70.5
2014,THEFT,165,63
2014,THEFT,203,66.5
2014,THEFT,154,61
2014,THEFT,179,62
2014,THEFT,192,68.5
2014,THEFT,255,65
2014,THEFT,167,65.5
2014,THEFT,187,72
2014,THEFT,203,77.5
2014,THEFT,188,84
2014,THEFT,178,71.5
2014,THEFT,194,69
2014,THEFT,215,74
2014,THEFT,207,72
2014,THEFT,215,72.5
2014,THEFT,183,73.5
2014,THEFT,200,78.5
2014,THEFT,231,69.5
2014,THEFT,226,68.5
2014,THEFT,201,73.5
2014,THEFT,183,79
2014,THEFT,180,77
2014,THEFT,183,77
2014,THEFT,236,73.5
2014,THEFT,209,63
2014,THEFT,216,66
2014,THEFT,170,68.5
2014,THEFT,191,68.5
2014,THEFT,181,75
2014,THEFT,212,79.5
2014,THEFT,189,73.5
2014,THEFT,208,71
2014,THEFT,206,69.5
2014,THEFT,235,70.5
2014,THEFT,158,75
2014,THEFT,173,76.5
2014,THEFT,214,70.5
2014,THEFT,211,62.5
2014,THEFT,221,63.5
2014,THEFT,200,66
2014,THEFT,217,69
2014,THEFT,185,68.5
2014,THEFT,192,71
2014,THEFT,204,74.5
2014,THEFT,191,79.5
2014,THEFT,223,67
2014,THEFT,215,66
2014,THEFT,241,65
2014,THEFT,213,76
2014,THEFT,189,76
